Batch [0/500], Time 0.036528825759887695
Batch [1/500], Time 0.023430585861206055
Batch [2/500], Time 0.024915695190429688
Batch [3/500], Time 0.0715031623840332
Batch [4/500], Time 0.05972647666931152
Batch [5/500], Time 0.039322853088378906
Batch [6/500], Time 0.07664036750793457
Batch [7/500], Time 0.026085615158081055
Batch [8/500], Time 0.024243831634521484
Batch [9/500], Time 0.05226445198059082
Batch [10/500], Time 0.0223541259765625
Batch [11/500], Time 0.07236552238464355
Batch [12/500], Time 0.057222604751586914
Batch [13/500], Time 0.046029090881347656
Batch [14/500], Time 0.043637990951538086
Batch [15/500], Time 0.04574465751647949
Batch [16/500], Time 0.022602081298828125
Batch [17/500], Time 0.022710084915161133
Batch [18/500], Time 0.05513763427734375
Batch [19/500], Time 0.04532766342163086
Batch [20/500], Time 0.023118019104003906
Batch [21/500], Time 0.07686424255371094
Batch [22/500], Time 0.04053497314453125
Batch [23/500], Time 0.02333855628967285
Batch [24/500], Time 0.021627426147460938
Batch [25/500], Time 0.022423982620239258
Batch [26/500], Time 0.02168130874633789
Batch [27/500], Time 0.0232999324798584
Batch [28/500], Time 0.027579307556152344
Batch [29/500], Time 0.051865577697753906
Batch [30/500], Time 0.022615671157836914
Batch [31/500], Time 0.02379775047302246
Batch [32/500], Time 0.02790045738220215
Batch [33/500], Time 0.04584360122680664
Batch [34/500], Time 0.05847978591918945
Batch [35/500], Time 0.023671388626098633
Batch [36/500], Time 0.02297687530517578
Batch [37/500], Time 0.07089877128601074
Batch [38/500], Time 0.051431894302368164
Batch [39/500], Time 0.021856307983398438
Batch [40/500], Time 0.02432394027709961
Batch [41/500], Time 0.04392433166503906
Batch [42/500], Time 0.05864357948303223
Batch [43/500], Time 0.04352259635925293
Batch [44/500], Time 0.022542476654052734
Batch [45/500], Time 0.05574440956115723
Batch [46/500], Time 0.05441689491271973
Batch [47/500], Time 0.02183222770690918
Batch [48/500], Time 0.02748250961303711
Batch [49/500], Time 0.023856401443481445
Batch [50/500], Time 0.05154728889465332
Batch [51/500], Time 0.04905271530151367
Batch [52/500], Time 0.022360801696777344
Batch [53/500], Time 0.052382707595825195
Batch [54/500], Time 0.023095369338989258
Batch [55/500], Time 0.04692220687866211
Batch [56/500], Time 0.02179265022277832
Batch [57/500], Time 0.0724802017211914
Batch [58/500], Time 0.04462790489196777
Batch [59/500], Time 0.03536629676818848
Batch [60/500], Time 0.022635698318481445
Batch [61/500], Time 0.03068828582763672
Batch [62/500], Time 0.037071943283081055
Batch [63/500], Time 0.07737278938293457
Batch [64/500], Time 0.0435488224029541
Batch [65/500], Time 0.043813228607177734
Batch [66/500], Time 0.04903078079223633
Batch [67/500], Time 0.05772256851196289
Batch [68/500], Time 0.021422863006591797
Batch [69/500], Time 0.032186269760131836
Batch [70/500], Time 0.027103185653686523
Batch [71/500], Time 0.07523488998413086
Batch [72/500], Time 0.0670318603515625
Batch [73/500], Time 0.04193115234375
Batch [74/500], Time 0.025917768478393555
Batch [75/500], Time 0.024260520935058594
Batch [76/500], Time 0.02144789695739746
Batch [77/500], Time 0.02587890625
